timeperiod,StDev,coeff_medianeBBW,coef_mediane,fenetre_lowest,seuil_lowest,longueur_mediane,Nb_bars_above,user_exit_sma_length,metric1_name,metric2_name,weight_metric1,weight_metric2
15,1.2827038776187085,1.1035809423903398,1.4189104683777098,60,2.166549152493844,50,2,10,sharpe_ratio,total_return,1.0,0.0
20,2.2970799671415807,1.187225587258722,1.314795211392498,30,3.494673491695945,50,2,10,sharpe_ratio,total_return,1.0,0.0
15,1.079490519708977,1.017665403061962,1.2564368182946584,40,1.198313982176441,50,2,10,sharpe_ratio,total_return,1.0,0.0
30,1.1517034831160562,0.8577164387021625,1.3227297466309145,60,1.8607200667481667,50,2,10,sharpe_ratio,total_return,1.0,0.0
30,1.0121602862891004,0.8485134249330042,1.1619861790117212,50,2.544571257825657,50,2,10,sharpe_ratio,total_return,1.0,0.0
20,1.1165964640869221,1.0210336517070475,1.4387088297898876,60,3.184394639628298,50,2,10,sharpe_ratio,total_return,1.0,0.0
30,1.1407214578717013,0.8558125283879592,1.3933275986631306,30,2.4471860417492426,50,2,10,sharpe_ratio,total_return,1.0,0.0
15,1.0709132859648443,0.8842613854715405,1.4640443362464381,40,1.353585378392844,50,2,10,sharpe_ratio,total_return,1.0,0.0
30,1.0330158157467015,0.9511466193987721,1.2166364291910792,60,2.7813011705170676,50,2,10,sharpe_ratio,total_return,1.0,0.0
25,1.5916467558388203,0.8494851444410022,1.49910415615043,40,3.3797909137904485,50,2,10,sharpe_ratio,total_return,1.0,0.0
